uid,Formula,alpha_R,E_pfrac_VBM,E_pfrac_CBM,radius_mean,max_mass,max_Z
c55716558616,HfTi3Se8,1.191,0.7409042099373613,0.1172884570017979,1.3666666666666665,178.49,72
c798e725e2fb,WCr3Se8,1.16,0.1467562156481204,0.1196259650218804,1.3,183.84,74
c96ef4fc869c,BiClS,1.181,0.8399466536166024,0.9094579449330604,1.2,208.9804,83
cce78d90e899,Hf2Ti2Se8,1.409,0.7652933296496389,0.1370649042205264,1.3666666666666665,178.49,72
cf7927ab6730,Bi2P2Te6,1.814,0.8519428236956959,0.8422307722599669,1.3333333333333333,208.9804,83
d59c96fdfda1,SeSn,0.873,0.8617318463089176,0.772294966413053,1.2999999999999998,118.71,50
da5fd2bb47af,ClSbTe,2.891,0.8418724917890628,0.8448925848104843,1.2833333333333332,127.6,52
dc4259e69783,WCr3S8,1.317,0.134076482189789,0.1114644811375034,1.25,183.84,74
de5756e4fbfa,BiBrSe,2.784,0.8708858861095728,0.9086603729103896,1.3,208.9804,83
df0019ec24b5,ISbSe,2.431,0.8444249438246081,0.8702194028528185,1.3333333333333333,126.90447,53
e688959ea45b,SnTe,0.806,0.9092975411969436,0.7702073113614514,1.4249999999999998,127.6,52
eadd37f03ca5,GeTe,0.952,0.9154990873691008,0.7472070142516989,1.325,127.6,52
eef072f845ce,CrW3Te8,1.592,0.2267102691969866,0.1224285422660796,1.3833333333333335,183.84,74
f1e78a09001d,BrSbTe,1.315,0.882771812071691,0.9164275283284804,1.3333333333333333,127.6,52
f4f45fcade85,BiBrTe,0.498,0.9275593381609089,0.9381112972308486,1.3833333333333335,208.9804,83
f705a30af945,ClSbSe,1.483,0.8438826392372596,0.9143032462366278,1.2,121.76,51
fba4cc0df459,AsClTe,0.634,0.9271260695172412,0.9136992993085054,1.1833333333333331,127.6,52
