model,best_params,KF_Acc,KF_Prec,KF_Rec,KF_F1,KF_AUC,LOO_Acc,LOO_Prec,LOO_Rec,LOO_F1,LOO_AUC,csv,threshold,n_features,n_pos,n_neg
GradientBoosting,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8484848484848485,0.8823529411764706,0.8955223880597015,0.8888888888888888,0.8563432835820896,0.8383838383838383,0.8695652173913043,0.8955223880597015,0.8823529411764706,0.8843283582089552,best_combo_1_w10_radius_mean_max_mass_max_Z,1.25,5,67,32
XGBoost,"{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 50, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 5}",0.8585858585858586,0.8533333333333334,0.9552238805970149,0.9014084507042254,0.8915578358208954,0.8282828282828283,0.8472222222222222,0.9104477611940298,0.8776978417266187,0.8871268656716418,best_combo_0_w10_radius_mean,1.25,3,67,32
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.8181818181818182,0.8210526315789474,0.9873417721518988,0.896551724137931,0.7949367088607594,0.7878787878787878,0.8152173913043478,0.9493670886075949,0.8771929824561403,0.7462025316455696,best_combo_0_w10_radius_mean,1.0,3,79,20
KNN,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 11, 'clf__weights': 'distance'}",0.8181818181818182,0.8210526315789474,0.9873417721518988,0.896551724137931,0.6772151898734178,0.7878787878787878,0.8152173913043478,0.9493670886075949,0.8771929824561403,0.6145569620253164,best_combo_4_w10_radius_mean_max_mass,1.0,4,79,20
AdaBoost,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 100}",0.8282828282828283,0.8787878787878788,0.8656716417910447,0.8721804511278195,0.8425839552238806,0.8181818181818182,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8395522388059702,best_combo_1_w10_radius_mean_max_mass_max_Z,1.25,5,67,32
AdaBoost,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 50}",0.8484848484848485,0.8823529411764706,0.8955223880597015,0.8888888888888888,0.8463152985074627,0.8181818181818182,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8390858208955223,best_combo_0_w10_radius_mean,1.25,3,67,32
AdaBoost,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 100}",0.8282828282828283,0.8787878787878788,0.8656716417910447,0.8721804511278195,0.8425839552238806,0.8181818181818182,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8395522388059702,best_combo_3_w10_radius_mean_max_Z4_max_Z,1.25,5,67,32
AdaBoost,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 100}",0.8282828282828283,0.8787878787878788,0.8656716417910447,0.8721804511278195,0.8425839552238806,0.8181818181818182,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8395522388059702,best_combo_2_w10_radius_mean_max_mass_max_Z4,1.25,5,67,32
AdaBoost,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 100}",0.8282828282828283,0.8787878787878788,0.8656716417910447,0.8721804511278195,0.8425839552238806,0.8181818181818182,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8395522388059702,best_combo_4_w10_radius_mean_max_mass,1.25,4,67,32
XGBoost,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 50, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 3}",0.8585858585858586,0.8533333333333334,0.9552238805970149,0.9014084507042254,0.8882929104477613,0.8080808080808081,0.8333333333333334,0.8955223880597015,0.8633093525179856,0.8936567164179104,best_combo_5_w10_radius_mean_radius_diff,1.25,4,67,32
