Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,V,H,0.001,0.553
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,V,H1,0.001,0.553
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,C,H,0.034,0.212
Bi2P2Te6,cf7927ab6730,P1 (1),0.14,0.507,C,H1,0.034,0.212
MoTe2,38a53176109a,P-6m2 (187),0.0,0.956,V,K,0.215,0.0
MoTe2,38a53176109a,P-6m2 (187),0.0,0.956,C,K,0.034,0.0
HgTe,1a3bdd1b142a,P3m1 (156),0.165,0.132,V,K,0.095,0.446
HgTe,1a3bdd1b142a,P3m1 (156),0.165,0.132,C,K,0.236,2.168
CdCl2,46c028e03e8b,P-6m2 (187),0.13,3.111,V,K,0.014,0.0
CdCl2,46c028e03e8b,P-6m2 (187),0.13,3.111,C,K,0.039,1.631
BiBrTe,304bc6a92d82,P3m1 (156),0.0,0.878,V,K,0.074,0.524
BiBrTe,304bc6a92d82,P3m1 (156),0.0,0.878,C,K,0.597,1.437
SSeTi,358305cad463,P3m1 (156),0.128,0.501,V,K,0.003,0.687
SSeTi,358305cad463,P3m1 (156),0.128,0.501,C,K,0.055,0.515
ZrO2,24a8929c68ce,P-6m2 (187),0.766,1.683,V,K,0.006,0.258
ZrO2,24a8929c68ce,P-6m2 (187),0.766,1.683,C,K,0.065,0.026
AsIS,e23390b66883,P3m1 (156),0.256,0.295,V,K,0.09,1.371
AsIS,e23390b66883,P3m1 (156),0.256,0.295,C,K,0.009,0.393
MoO2,152bd69757aa,P-6m2 (187),0.028,0.918,V,K,0.135,1.541
MoO2,152bd69757aa,P-6m2 (187),0.028,0.918,C,K,0.004,0.0
BiClSe,7fe9c5cb910c,P3m1 (156),0.119,1.601,V,K,0.114,0.411
BiClSe,7fe9c5cb910c,P3m1 (156),0.119,1.601,C,K,0.609,0.318
SrI2,6cfaae647808,P-6m2 (187),0.096,3.448,V,K,0.022,0.182
SrI2,6cfaae647808,P-6m2 (187),0.096,3.448,C,K,0.079,0.498
ZnBr2,553cb6a56984,P-6m2 (187),0.249,2.413,V,K,0.016,0.402
ZnBr2,553cb6a56984,P-6m2 (187),0.249,2.413,C,K,0.156,0.7
AsIS,b13beafa16aa,P3m1 (156),0.064,1.395,V,K,0.2,0.529
AsIS,b13beafa16aa,P3m1 (156),0.064,1.395,C,K,0.107,1.721
AsITe,114b3382699c,P3m1 (156),0.162,0.416,V,K,0.189,1.022
AsITe,114b3382699c,P3m1 (156),0.162,0.416,C,K,0.124,0.0
AsBiCr,b299416bff28,P3m1 (156),0.461,0.037,V,K,0.041,1.339
AsBiCr,b299416bff28,P3m1 (156),0.461,0.037,C,K,0.192,0.238
Ga2Se2,394e5709a3ac,P-6m2 (187),0.0,1.736,V,K,0.011,1.375
Ga2Se2,394e5709a3ac,P-6m2 (187),0.0,1.736,C,K,0.036,0.847
Sc2Te2,c3cac8e74dc1,P-6m2 (187),0.614,0.287,V,K,0.002,0.051
Sc2Te2,c3cac8e74dc1,P-6m2 (187),0.614,0.287,C,K,0.006,0.112
BaI2,c4707a226b8f,P-6m2 (187),0.105,3.362,V,K,0.043,0.155
BaI2,c4707a226b8f,P-6m2 (187),0.105,3.362,C,K,0.075,0.267
BiIS,acdcd16c0d76,P3m1 (156),0.014,1.139,V,K,0.164,0.26
BiIS,acdcd16c0d76,P3m1 (156),0.014,1.139,C,K,0.236,1.612
HgCl2,6cbe2e585099,P-6m2 (187),0.131,2.023,V,K,0.073,0.0
HgCl2,6cbe2e585099,P-6m2 (187),0.131,2.023,C,K,0.048,1.125
GaN,c973e283b023,P-6m2 (187),0.416,1.818,V,K,0.006,0.0
GaN,c973e283b023,P-6m2 (187),0.416,1.818,C,K,0.001,3.052
Te2Tl2,73117163f0e2,P-6m2 (187),0.137,0.367,V,K,0.149,1.151
Te2Tl2,73117163f0e2,P-6m2 (187),0.137,0.367,C,K,0.368,0.566
N2O2Hf3,bb4e40ae9164,P-6m2 (187),0.088,0.323,V,K,0.1,0.0
N2O2Hf3,bb4e40ae9164,P-6m2 (187),0.088,0.323,C,K,0.115,1.31
ISSb,4c49d27e66e5,P3m1 (156),0.185,0.872,V,K,0.057,0.853
ISSb,4c49d27e66e5,P3m1 (156),0.185,0.872,C,K,0.085,0.327
Br2Tl2,948c61cd5626,P1 (1),0.063,3.311,V,H,0.002,0.034
Br2Tl2,948c61cd5626,P1 (1),0.063,3.311,V,H1,0.002,0.034
Br2Tl2,948c61cd5626,P1 (1),0.063,3.311,C,H,0.002,0.006
Br2Tl2,948c61cd5626,P1 (1),0.063,3.311,C,H1,0.002,0.006
Rh2Br6,c284d6de2b3e,P3 (143),0.408,0.26,C,K,0.004,0.002
SnS2,8f2fa65321f0,P-6m2 (187),0.286,0.754,V,K,0.005,0.186
SnS2,8f2fa65321f0,P-6m2 (187),0.286,0.754,C,K,0.042,0.818
ClSSb,9188c300265c,P3m1 (156),0.048,1.332,V,K,0.013,0.236
