Formula,uid,Rashba_parameter,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_afs_gauss_std,kpath_angle_deg,ehull
Mo2W2Te8,c04fc052f2ca,1.645,0.2958079752151466,0.1399480237647956,1.3999999999999997,1.3681197368364582,180.0,0.011
HfTi3Se8,c55716558616,1.191,0.7409042099373613,0.1172884570017979,1.3666666666666665,1.606444877477826,180.0,0.137
WCr3Se8,c798e725e2fb,1.16,0.1467562156481204,0.1196259650218804,1.3,2.946532368703589,180.0,0.009
BiClS,c96ef4fc869c,1.181,0.8399466536166024,0.9094579449330604,1.2,0.0007471850235111,59.99999998775802,0.0
Hf2Ti2Se8,cce78d90e899,1.409,0.7652933296496389,0.1370649042205264,1.3666666666666665,1.0748969259127437,-130.82723326206678,0.156
Bi2P2Te6,cf7927ab6730,1.814,0.8519428236956959,0.8422307722599669,1.3333333333333333,0.5918194214520243,90.00000000000001,0.14
SeSn,d59c96fdfda1,0.873,0.8617318463089176,0.772294966413053,1.2999999999999998,0.0,119.9999999735,0.098
ClSbTe,da5fd2bb47af,2.891,0.8418724917890628,0.8448925848104843,1.2833333333333332,0.0002165302110698,-149.99999999664146,0.008
WCr3S8,dc4259e69783,1.317,0.134076482189789,0.1114644811375034,1.25,3.833981866419253,180.0,0.009
BiBrSe,de5756e4fbfa,2.784,0.8708858861095728,0.9086603729103896,1.3,0.0012482141592709,29.999999951474244,0.0
ISbSe,df0019ec24b5,2.431,0.8444249438246081,0.8702194028528185,1.3333333333333333,0.001885196535515,120.00000004774289,0.0
SnTe,e688959ea45b,0.806,0.9092975411969436,0.7702073113614514,1.4249999999999998,0.0,119.99999994329718,0.119
GeTe,eadd37f03ca5,0.952,0.9154990873691008,0.7472070142516989,1.325,0.0,119.99999998974371,0.087
CrW3Te8,eef072f845ce,1.592,0.2267102691969866,0.1224285422660796,1.3833333333333335,1.5251605549995362,180.0,0.056
BrSbTe,f1e78a09001d,1.315,0.882771812071691,0.9164275283284804,1.3333333333333333,0.0076894500190178,120.00000004255,0.13
BiBrTe,f4f45fcade85,0.498,0.9275593381609089,0.9381112972308486,1.3833333333333335,0.0065832957009888,120.00000005740532,0.117
ClSbSe,f705a30af945,1.483,0.8438826392372596,0.9143032462366278,1.2,0.0122234655218269,119.99999996677256,0.146
AsClTe,fba4cc0df459,0.634,0.9271260695172412,0.9136992993085054,1.1833333333333331,0.0126639581169268,59.99999995613801,0.194
