Formula,uid,Rashba_parameter,pmid_grdf_trig_max,E_pfrac_VBM,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean
BrSbTe,18e62ba75259,2.631,-1.4099344084064436,0.83517716605127,0.8451200771706139,1.3333333333333333,0.1679147987913823,0.0,0.1946983915644024
HgTe,1a3bdd1b142a,0.618,-0.9351443495935298,0.8163718961430929,0.6004465462984125,1.45,0.0,0.0,0.0
AsClSe,1a3be826b3e0,3.717,-1.6732237588144758,0.8229245148495816,0.8258043654001617,1.1,0.2851606780863341,0.0,0.33719666108186
AsBrS,1dcd471c2288,3.109,-1.597214599505171,0.81239137651136,0.8750866369111423,1.1,0.30213533827224,0.5,0.3265450778275163
O2Pb2,20f098bd3f31,1.914,-0.703478113502395,0.8829775241595053,0.8990904811171163,1.2,0.0,0.0,0.0
GeSe,211bcb7f05d6,0.94,-0.837900225295761,0.9034063151276184,0.7457842356027244,1.2,0.0,0.5,0.0
MoW3Se8,24d6cc0a0fed,2.097,-6.903169741235938,0.2110720286877839,0.1880903063476812,1.3166666666666669,0.9779934404054346,0.5,9.766723550852689
Bi2P2S6,287dcf4f1a19,1.406,-6.194920469114157,0.8599441662300487,0.9027750754848928,1.2,0.7063049990518508,0.0,10.719223989530924
BiITe,2d41b3dd1772,2.086,-1.1454390733566138,0.9040246564075758,0.919259222337323,1.4666666666666668,0.1305006949976784,0.0,0.0652732255226822
MoSTe,2ea941c8bc3c,2.525,-1.4219252422262485,0.2656621523829215,0.2434765337283689,1.2833333333333334,0.3399033820915767,0.0,0.2513728401761673
MoW3S8,2f6f133abcc8,2.241,-7.612064738401055,0.2120919784501239,0.2250064564826057,1.2666666666666666,1.0646925214350431,0.5,11.643323569450096
BiBrTe,304bc6a92d82,1.13,-1.3430495846442807,0.8941369584845804,0.9109066585302884,1.3833333333333335,0.1465991310511269,0.5,0.1622030639205651
WMo3Te8,323fb700d903,1.501,-5.5965905455168485,0.3014358700618786,0.1389700062296471,1.3999999999999997,0.7936127338565003,0.5,6.6039285122440825
ISbSe,343d2125478e,1.17,-1.7065867568448423,0.8991816494298284,0.9133427007098202,1.3333333333333333,0.1908869321418514,0.0,0.3719486680278174
Pb2Te6,3995fa1bee6e,3.064,-0.8882105882433932,0.8986972744902609,0.8492620158711233,1.6,0.1044930639274588,0.0,0.450338113454832
PbTe,3bc08d486d65,2.18,-0.9915597672752968,0.9311785526870192,0.7994363268899549,1.6,0.0,0.5,0.0
TiHf3Se8,3e1923c616ad,1.256,-4.231574847838632,0.7987767433307077,0.1594418578290933,1.3666666666666665,0.8097415642123392,0.5,4.245799802242928
MoCr3S8,3fb52099b370,1.221,-8.04317903574509,0.1542812240567189,0.1108407663341692,1.2833333333333332,1.0612570687395595,0.5,13.00698466372757
BiIS,40034665f9f1,1.254,-1.7375633212545818,0.946845373751356,0.9381116900544376,1.3333333333333333,0.2101623412487261,0.0,0.3895134592483216
BiISe,433f707c632c,1.255,-1.694702628771762,0.937149742562862,0.9338553284954838,1.3833333333333335,0.1733378666187582,0.0,0.3636502103635151
Mo2W2S8,449640ec4d30,1.954,-7.619636307954917,0.2072633880549644,0.2146805678678273,1.2666666666666666,1.067824949185677,0.5,11.657759375881165
BiBrS,49b7be14f786,1.293,-1.4945848587115471,0.8440266668986302,0.9145043455561068,1.25,0.227769540807324,0.0,0.2601377879679843
ISSb,4c49d27e66e5,0.907,-1.7393680220677954,0.9067714092588202,0.9212175840416548,1.2833333333333334,0.2274370133315044,0.0,0.394926918025156
