bs_m_eff_VBM,bs_m_eff_CBM,bs_m_eff_ratio,bs_VBM_kdist_to_gamma,bs_CBM_kdist_to_gamma,bs_VBM_at_gamma,bs_CBM_at_gamma,bs_band_gap_at_VBM_kpt,bs_band_gap_at_CBM_kpt,bs_VBM_curvature,bs_CBM_curvature,uid
-1.193146780735795,0.5937640710402283,0.49764545370860686,0.3805346375683477,0.21641802888866216,0,0,1.2675,0.9096000000000002,-1.5966183128158098,3.2083450193653325,70e7ab872359
-0.3566844862991851,0.7214266891175287,2.0225905998961777,0.3279107036695751,0.28418954467168256,0,0,1.0438,1.0498,-5.340854657755134,2.6406009491141154,72b286460831
-0.8424550061693651,0.4441142177771946,0.5271666908320455,0.07400879959088354,1.2458123014861113,0,0,2.5065,1.2805,-2.261248358724838,4.2894370946613325,75ee10091f43
-0.11302013516193128,0.10796807824180264,0.9552994967410875,0.5716199201165272,0.6397782271660754,0,0,1.6024,1.7734999999999999,-16.855403661220038,17.64410398908471,7a8373382b33
-0.6886516521671694,0.17536503837401932,0.2546498477454457,0.34656462519325354,0.03713270389903505,0,1,1.9192999999999998,1.7415,-2.7662752191256827,10.863054675339606,7fe9c5cb910c
-1.314646365842765,0.611836015721792,0.4653996934982355,0.36998041279151056,0.20228086539162723,0,0,1.2898999999999998,0.9314,-1.4490588872383061,3.1135793759258243,81af2831dbb2
-0.11225512012313141,0.30649233379465285,2.7303194140139424,0.214853985038866,0.28464314934978086,0,0,0.6548,0.7089,-16.970272695895087,6.215489883268445,82b85dfd7723
-0.34097127176371494,0.7261313736922639,2.129596930369711,0.5627683985225144,0.2160088796446879,0,0,0.6389999999999998,0.7424999999999997,-5.58698095046588,2.6234922068073914,846b50801a93
-0.4539746024399886,0.6045796864336097,1.3317478184553941,0.3122848565015811,0.3247763586873599,0,0,0.48140000000000005,0.48219999999999996,-4.196269989028349,3.1509493996358287,899032b4ad0c
-0.8854657999803214,0.3890176851832782,0.4393367707616982,1.2598271689337863,0.9355170954881019,0,0,0.4971,0.44420000000000004,-2.151410026273558,4.896949605523708,916afba26723
-0.4340055032608701,0.6783443580641281,1.562985614162574,0.3193134920771162,0.34133584728787253,0,0,0.7280000000000001,0.7271,-4.389345263336329,2.8083081658356015,961c37d6e527
-0.15730771472940602,0.07556296208126381,0.48035127972740543,0.0,0.02464139015882312,1,1,0.9491,0.9450999999999996,-12.110022723786301,25.210763944791857,968a6902b7f5
-0.3967351322871838,0.42363242939141993,1.0677966101695426,0.29063760990569676,0.29063760990569676,0,0,0.5754,0.5754,-4.801692224778903,4.4968228771736785,988b11badabb
-0.6479551197160156,0.24205866655468616,0.37357319849679577,0.4120398547410683,0.03777231527636575,0,1,2.1900999999999997,2.2222,-2.940018439602606,7.869992953008441,99fd027b1d0b
-0.24437116356500702,0.23281867279902346,0.9527256383386234,0.32867548647274475,0.32867548647274475,0,0,1.5819999999999999,1.5819999999999999,-7.795518801027588,8.182333388887828,9c2979187585
