n_feat,features,features_full,loo_r2,loo_mae
3,"ehull, E_sfrac_VBM, E_sfrac_CBM","old_ehull, E_sfrac_VBM, E_sfrac_CBM",0.3303700387726517,0.5909853645430672
4,"E_pfrac_VBM, E_pfrac_CBM, radius_mean, max_Z4","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_max_Z4",0.5217145223621997,0.49611432101028136
4,"E_pfrac_VBM, E_pfrac_CBM, radius_mean, pmid_afs_gauss_std","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, pmid_afs_gauss_std",0.5484078341061402,0.4796680982955779
4,"E_pfrac_VBM, E_pfrac_CBM, radius_mean, kpath_angle_deg","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_kpath_angle_deg",0.5646197739966042,0.49078813900128754
4,"E_pfrac_VBM, E_pfrac_CBM, radius_mean, ehull","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, old_ehull",0.507578983792034,0.5096699653827783
4,"E_pfrac_VBM, E_pfrac_CBM, radius_mean, E_sfrac_VBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, E_sfrac_VBM",0.5272225481436328,0.4930760488317471
4,"E_pfrac_VBM, E_pfrac_CBM, radius_mean, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_radius_mean, E_sfrac_CBM",0.4931876389665698,0.493415673790556
4,"E_pfrac_VBM, E_pfrac_CBM, max_Z4, pmid_afs_gauss_std","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, pmid_afs_gauss_std",0.5454468791693677,0.4612078154978127
4,"E_pfrac_VBM, E_pfrac_CBM, max_Z4, kpath_angle_deg","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_kpath_angle_deg",0.4965505188342083,0.49622639116614764
4,"E_pfrac_VBM, E_pfrac_CBM, max_Z4, ehull","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, old_ehull",0.4283967711964065,0.5421741761968594
4,"E_pfrac_VBM, E_pfrac_CBM, max_Z4, E_sfrac_VBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, E_sfrac_VBM",0.5163676908619629,0.4987172197284121
4,"E_pfrac_VBM, E_pfrac_CBM, max_Z4, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_max_Z4, E_sfrac_CBM",0.4430553992291315,0.4991881230527704
4,"E_pfrac_VBM, E_pfrac_CBM, pmid_afs_gauss_std, kpath_angle_deg","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_kpath_angle_deg",0.5647790948652542,0.4660389375782976
4,"E_pfrac_VBM, E_pfrac_CBM, pmid_afs_gauss_std, ehull","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, old_ehull",0.538125038217905,0.4784697262686912
4,"E_pfrac_VBM, E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_VBM","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_VBM",0.5862702109611866,0.4594934182167054
4,"E_pfrac_VBM, E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, pmid_afs_gauss_std, E_sfrac_CBM",0.5569414188178828,0.4471550349225902
4,"E_pfrac_VBM, E_pfrac_CBM, kpath_angle_deg, ehull","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, old_ehull",0.477934132335733,0.5067710393944173
4,"E_pfrac_VBM, E_pfrac_CBM, kpath_angle_deg, E_sfrac_VBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, E_sfrac_VBM",0.5483602883083971,0.48230425411282174
4,"E_pfrac_VBM, E_pfrac_CBM, kpath_angle_deg, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, E_sfrac_CBM",0.5157495000027883,0.4838594072081826
4,"E_pfrac_VBM, E_pfrac_CBM, ehull, E_sfrac_VBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, E_sfrac_VBM",0.45491313802312505,0.518718262821737
4,"E_pfrac_VBM, E_pfrac_CBM, ehull, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, E_sfrac_CBM",0.4321447980098915,0.5229445677237078
4,"E_pfrac_VBM, E_pfrac_CBM, E_sfrac_VBM, E_sfrac_CBM","old_E_pfrac_VBM, old_E_pfrac_CBM, E_sfrac_VBM, E_sfrac_CBM",0.517285714967884,0.47974376209336106
4,"E_pfrac_VBM, radius_mean, max_Z4, pmid_afs_gauss_std","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std",0.3053182661878038,0.5822634276476774
4,"E_pfrac_VBM, radius_mean, max_Z4, kpath_angle_deg","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg",0.3204830640068346,0.5916682132807646
4,"E_pfrac_VBM, radius_mean, max_Z4, ehull","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_ehull",0.348701317174973,0.5696722754613318
4,"E_pfrac_VBM, radius_mean, max_Z4, E_sfrac_VBM","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, E_sfrac_VBM",0.38512722464843263,0.5670213413672014
4,"E_pfrac_VBM, radius_mean, max_Z4, E_sfrac_CBM","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, E_sfrac_CBM",0.4432203022172819,0.5207756245641998
4,"E_pfrac_VBM, radius_mean, pmid_afs_gauss_std, kpath_angle_deg","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg",0.3977715672722397,0.5423110029239847
4,"E_pfrac_VBM, radius_mean, pmid_afs_gauss_std, ehull","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_ehull",0.4634288253717773,0.5123664021588336
4,"E_pfrac_VBM, radius_mean, pmid_afs_gauss_std, E_sfrac_VBM","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_VBM",0.43182638858864153,0.5323199283859946
4,"E_pfrac_VBM, radius_mean, pmid_afs_gauss_std, E_sfrac_CBM","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, E_sfrac_CBM",0.5035719986656029,0.4859355018548291
4,"E_pfrac_VBM, radius_mean, kpath_angle_deg, ehull","old_E_pfrac_VBM, old_radius_mean, old_kpath_angle_deg, old_ehull",0.36309893723943676,0.5574261450334028
4,"E_pfrac_VBM, radius_mean, kpath_angle_deg, E_sfrac_VBM","old_E_pfrac_VBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_VBM",0.43504667200779557,0.5506644615838022
4,"E_pfrac_VBM, radius_mean, kpath_angle_deg, E_sfrac_CBM","old_E_pfrac_VBM, old_radius_mean, old_kpath_angle_deg, E_sfrac_CBM",0.4853104337640193,0.5231922191995564
4,"E_pfrac_VBM, radius_mean, ehull, E_sfrac_VBM","old_E_pfrac_VBM, old_radius_mean, old_ehull, E_sfrac_VBM",0.40822099223986785,0.5516411359478729
4,"E_pfrac_VBM, radius_mean, ehull, E_sfrac_CBM","old_E_pfrac_VBM, old_radius_mean, old_ehull, E_sfrac_CBM",0.3882456446037704,0.5527210290889547
4,"E_pfrac_VBM, radius_mean, E_sfrac_VBM, E_sfrac_CBM","old_E_pfrac_VBM, old_radius_mean, E_sfrac_VBM, E_sfrac_CBM",0.4811825251228359,0.516661827164467
4,"E_pfrac_VBM, max_Z4, pmid_afs_gauss_std, kpath_angle_deg","old_E_pfrac_VBM, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",0.3410044671704072,0.5693027319715481
4,"E_pfrac_VBM, max_Z4, pmid_afs_gauss_std, ehull","old_E_pfrac_VBM, old_max_Z4, pmid_afs_gauss_std, old_ehull",0.40333658132583106,0.5464352740663471
4,"E_pfrac_VBM, max_Z4, pmid_afs_gauss_std, E_sfrac_VBM","old_E_pfrac_VBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",0.44660789281038826,0.5121268709982284
4,"E_pfrac_VBM, max_Z4, pmid_afs_gauss_std, E_sfrac_CBM","old_E_pfrac_VBM, old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",0.47638127542967246,0.4856707233708314
4,"E_pfrac_VBM, max_Z4, kpath_angle_deg, ehull","old_E_pfrac_VBM, old_max_Z4, old_kpath_angle_deg, old_ehull",0.153726570744515,0.6403006866532143
4,"E_pfrac_VBM, max_Z4, kpath_angle_deg, E_sfrac_VBM","old_E_pfrac_VBM, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",0.38284704198014397,0.5707033850929955
4,"E_pfrac_VBM, max_Z4, kpath_angle_deg, E_sfrac_CBM","old_E_pfrac_VBM, old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",0.320851252253321,0.5800314064603863
4,"E_pfrac_VBM, max_Z4, ehull, E_sfrac_VBM","old_E_pfrac_VBM, old_max_Z4, old_ehull, E_sfrac_VBM",0.3616870046890961,0.5677301466826237
4,"E_pfrac_VBM, max_Z4, ehull, E_sfrac_CBM","old_E_pfrac_VBM, old_max_Z4, old_ehull, E_sfrac_CBM",0.24308608345129068,0.6094078021482988
