n_features,features,features_str,model,loo_r2,loo_mae
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, old_ehull, E_sfrac_VBM",SVR_RBF,0.4543733124651901,0.49587409583512687
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",LR,0.12529603159082836,0.6732096727914557
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_kpath_angle_deg', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, old_ehull, E_sfrac_CBM",SVR_RBF,0.41110650633013557,0.5007260582177618
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_kpath_angle_deg', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM",LR,0.3899758576177247,0.5904368866464603
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_kpath_angle_deg', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_kpath_angle_deg, E_sfrac_VBM, E_sfrac_CBM",SVR_RBF,0.43488549322423053,0.4950326645872008
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, E_sfrac_VBM, E_sfrac_CBM",LR,0.31662417389816166,0.61154094612947
5,"['old_E_pfrac_VBM', 'old_E_pfrac_CBM', 'old_ehull', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_E_pfrac_CBM, old_ehull, E_sfrac_VBM, E_sfrac_CBM",SVR_RBF,0.4704327564511962,0.47085736317708626
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",LR,0.05566177847100795,0.7085198021821248
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_kpath_angle_deg']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_kpath_angle_deg",SVR_RBF,0.2815331172495876,0.5845801239285942
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_ehull",LR,0.06088811267279082,0.6854873585948249
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'old_ehull']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, old_ehull",SVR_RBF,0.25865381587078395,0.5923721618992894
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",LR,0.3726389097197924,0.6145791062081262
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_VBM",SVR_RBF,0.23740120219560712,0.5878316125326428
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",LR,0.09297718249758058,0.6696005935308468
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'pmid_afs_gauss_std', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, pmid_afs_gauss_std, E_sfrac_CBM",SVR_RBF,0.30544806491178333,0.5208027523161028
