uid,Formula,E_sfrac_VBM,E_pfrac_VBM,E_dfrac_VBM,E_sfrac_CBM,E_pfrac_CBM,E_dfrac_CBM
988b11badabb,Cr2Mo2Te8,0.011851736522410576,0.27511471967581824,0.7130335438017712,0.020405005212957537,0.12415736748545887,0.8554376273015837
99fd027b1d0b,BiClS,0.05081868784224854,0.9361075873650757,0.01307372479267583,0.03917946850163248,0.938343067497431,0.022477464000936562
9c2979187585,WMo3S8,0.018398522014463767,0.28891837835775763,0.6926830996277786,0.018396945014320244,0.2143263390952855,0.7672767158903941
a0dbdc6630fa,PbSe,0.07177556321494581,0.9108971477096758,0.017327289075378387,0.1511617171872596,0.7978919833820588,0.050946299430681644
a148361e5e9a,TiZr3Se8,0.010201962369212806,0.7465591180564911,0.2432389195742961,0.009432330677025822,0.14458915924984814,0.8459785100731261
a1d716aad84d,Mo2W2Se8,0.015065728835253804,0.26981434245136554,0.7151199287133805,0.02408581588835212,0.18333836553945249,0.7925758185721955
a7233837cfe9,CrMo3Se8,0.012358835570752801,0.3029575848647709,0.6846835795644763,0.01968872275777647,0.16909086934662382,0.8112204078955997
a80866a2c6b4,BiClSe,0.09156823476519393,0.890946989823027,0.01748477541177913,0.07183908045977011,0.9097439916405433,0.01841692789968652
a84d988e38ac,BiITe,0.040672874048252455,0.9451139803687735,0.014213145582974037,0.028899171538610734,0.9380593499764486,0.03304147848494085
a9f87eba4b96,CrW3S8,0.01709371672365744,0.2146308720114989,0.7682754112648439,0.02295146091062097,0.1941618667482033,0.7828866723411757
aa9a981d89aa, ,0.12729534859318553,0.8569101547470931,0.015794496659721283,0.11761725728608378,0.8452771397335833,0.037105602980333004
acdcd16c0d76,BiIS,0.06318164920492804,0.9203357261412961,0.01648262465377587,0.06223162987602056,0.9249470819473843,0.012821288176595103
b13beafa16aa,AsIS,0.08914787907411781,0.8958498289090462,0.015002292016835905,0.06942700826087632,0.9114784333782799,0.01909455836084376
b8fb10416122,ZrHf3Se8,0.009911869874030192,0.787196097284316,0.2028920328416538,0.011691999331885753,0.1951804667689084,0.7931275338992059
badda86cab42,BiClTe,0.05306381359157609,0.9318814225906035,0.01505476381782044,0.03167118550827144,0.9386223427246649,0.029706471767063536
c04fc052f2ca,Mo2W2Te8,0.014888006777660372,0.3085144358454464,0.6765975573768931,0.02867658306005425,0.1385534302588037,0.8327699866811421
c55716558616,HfTi3Se8,0.009650041665690562,0.7029370128544512,0.28741294547985824,0.010094445522910849,0.11456126580070508,0.8753442886763843
c798e725e2fb,WCr3Se8,0.009978775762791351,0.2523798703339313,0.7376413539032776,0.017429937016252207,0.1403447802433541,0.8422252827403937
