Formula,uid,spacegroup,ehull,bandgap,band,kpath,Rashba_parameter,SS,dE,anticrossing
Cr2Mo2Se8,60065d3bbcf2,P1 (1),0.016,0.837,V,X->G,1.173,0.122,0.0,False
Cr2Mo2Se8,60065d3bbcf2,P1 (1),0.016,0.837,V,Y->S,1.124,0.095,0.401,False
CrMo3Se8,a7233837cfe9,P1 (1),0.01,0.971,V,X->G,1.288,0.148,0.0,False
CrMo3Se8,a7233837cfe9,P1 (1),0.01,0.971,V,Y->S,1.311,0.097,0.498,False
CrMo3Se8,a7233837cfe9,P1 (1),0.01,0.971,V,G->S,0.779,0.115,0.185,False
ZrHf3Se8,b8fb10416122,P1 (1),0.165,0.843,V,S->G,0.725,0.097,0.023,False
WCr3Te8,6523c349753c,P1 (1),0.097,0.459,V,X->G,0.99,0.135,0.0,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,V,S->Y,1.409,0.109,0.0,False
Hf2Ti2Se8,cce78d90e899,P1 (1),0.156,0.656,V,S->G,0.553,0.103,0.018,False
BiClSe,a80866a2c6b4,P3m1 (156),0.0,1.139,V,G->M,2.393,0.118,0.018,True
BiClSe,a80866a2c6b4,P3m1 (156),0.0,1.139,V,M->K,1.782,0.09,0.362,False
BiClSe,a80866a2c6b4,P3m1 (156),0.0,1.139,V,G->K,2.216,0.124,0.0,True
BiClSe,a80866a2c6b4,P3m1 (156),0.0,1.139,C,M->G,3.032,0.092,0.0,False
WMo3Se8,05a06afa3b20,Pm (6),0.0,1.32,V,X->G,1.643,0.25,0.0,False
WMo3Se8,05a06afa3b20,Pm (6),0.0,1.32,V,G->S,1.001,0.195,0.232,False
BrSSb,4da5c6be60db,P3m1 (156),0.028,1.233,V,M->K,2.39,0.117,0.28,False
Cr2W2Se8,548aa830244c,P1 (1),0.015,0.778,V,X->G,1.39,0.204,0.0,False
Cr2W2Se8,548aa830244c,P1 (1),0.015,0.778,V,Y->S,1.322,0.128,0.497,False
WMo3S8,9c2979187585,P1 (1),0.0,1.582,V,X->G,1.816,0.214,0.0,False
TiZr3Se8,a148361e5e9a,P1 (1),0.144,0.701,V,S->Y,1.321,0.09,0.013,False
TiZr3Se8,a148361e5e9a,P1 (1),0.144,0.701,V,G->S,0.88,0.086,0.041,False
BiClS,c96ef4fc869c,P3m1 (156),0.0,1.334,C,G->M,1.146,0.115,0.0,True
BiClS,c96ef4fc869c,P3m1 (156),0.0,1.334,C,G->K,1.181,0.112,0.0,False
Ga2P2Te6,4cb4ea247ef4,P1 (1),0.173,0.314,V,Y->G,3.695,0.163,0.001,False
Ga2P2Te6,4cb4ea247ef4,P1 (1),0.173,0.314,V,X->G,3.828,0.161,0.0,False
MoCr3Se8,961c37d6e527,Pm (6),0.01,0.726,V,X->G,0.977,0.103,0.0,False
AsClSe,1a3be826b3e0,P3m1 (156),0.013,1.364,V,G->M,3.717,0.097,0.039,False
AsClSe,1a3be826b3e0,P3m1 (156),0.013,1.364,V,G->K,3.481,0.101,0.0,False
