features,feat_list,indices,n_feat,cv5_r2
end_nearest_mass + mid_nearest_Z + start_adf_mean,"end_nearest_mass,mid_nearest_Z,start_adf_mean","(16, 44, 53)",3,0.0675067534046017
end_nearest_Z4 + mid_nearest_Z + start_adf_mean,"end_nearest_Z4,mid_nearest_Z,start_adf_mean","(14, 44, 53)",3,0.0675067534046017
end_nearest_Z4 + mid_nearest_Z4 + start_adf_mean,"end_nearest_Z4,mid_nearest_Z4,start_adf_mean","(14, 45, 53)",3,0.0675067534046017
end_nearest_Z4 + mid_nearest_mass + start_adf_mean,"end_nearest_Z4,mid_nearest_mass,start_adf_mean","(14, 47, 53)",3,0.0675067534046017
end_nearest_Z + mid_nearest_mass + start_adf_mean,"end_nearest_Z,mid_nearest_mass,start_adf_mean","(13, 47, 53)",3,0.0675067534046017
end_nearest_Z + mid_nearest_Z + start_adf_mean,"end_nearest_Z,mid_nearest_Z,start_adf_mean","(13, 44, 53)",3,0.0675067534046017
kvec_z + max_mass + start_adf_mean,"kvec_z,max_mass,start_adf_mean","(34, 37, 53)",3,0.0675007813172337
E_pfrac_CBM + kstart_frac_y + start_adf_mean,"E_pfrac_CBM,kstart_frac_y,start_adf_mean","(0, 30, 53)",3,0.06749206138617943
kpath_angle_deg + start_adf_min + sum_Z4,"kpath_angle_deg,start_adf_min,sum_Z4","(24, 54, 61)",3,0.06744688149144709
E_pfrac_VBM + kvec_y + mid_adf_n_triplets,"E_pfrac_VBM,kvec_y,mid_adf_n_triplets","(1, 33, 42)",3,0.06741093825715008
E_pfrac_VBM + kvec_y + start_adf_n_triplets,"E_pfrac_VBM,kvec_y,start_adf_n_triplets","(1, 33, 55)",3,0.06741093825715008
kend_frac_x + kvec_y + start_adf_mean,"kend_frac_x,kvec_y,start_adf_mean","(18, 33, 53)",3,0.06736961619775476
kstart_frac_y + mid_adf_max + start_adf_std,"kstart_frac_y,mid_adf_max,start_adf_std","(30, 39, 56)",3,0.0672919065430931
band_binary + mid_adf_max + radius_diff,"band_binary,mid_adf_max,radius_diff","(5, 39, 50)",3,0.06725353569546848
kmid_frac_x + kpath_real_distance + mid_adf_std,"kmid_frac_x,kpath_real_distance,mid_adf_std","(21, 26, 43)",3,0.06722559522170746
kvec_x + start_adf_max + start_adf_std,"kvec_x,start_adf_max,start_adf_std","(32, 52, 56)",3,0.06719271694511128
max_Z4 + max_mass + start_adf_mean,"max_Z4,max_mass,start_adf_mean","(36, 37, 53)",3,0.0671779559441363
max_Z + max_mass + start_adf_mean,"max_Z,max_mass,start_adf_mean","(35, 37, 53)",3,0.0671779559441363
E_pfrac_VBM + band_binary + mid_nearest_Z,"E_pfrac_VBM,band_binary,mid_nearest_Z","(1, 5, 44)",3,0.06715361718914921
