Formula,uid,kpath,mid_adf_max,E_pfrac_relevant,mid_nearest_Z,end_adf_n_triplets,start_adf_mean,start_adf_std,band_binary,Rashba_parameter
CrW3Te8,eef072f845ce,G->S,162.3052053657876,0.2267102691969866,74,66,56.37596921161089,31.63999653755754,0,0.99
ISSb,5b94060698bc,M->K,122.40410509770886,0.8378311435722494,51,3,78.67715998227652,12.9874420780516,0,2.844
ISSb,5b94060698bc,G->M,104.74345922897824,0.881194264676874,51,3,91.874064930914,29.51016909675194,1,1.507
ISSb,5b94060698bc,G->K,139.37001938625409,0.881194264676874,51,3,91.874064930914,29.51016909675194,1,1.547
MoCr3S8,3fb52099b370,X->G,179.28268873146882,0.1542812240567189,24,66,54.277746699526766,24.277381620969223,0,1.221
CrW3Se8,0b7696e1f4c9,X->G,179.53188237213377,0.1813042425403861,24,66,56.36279966660555,25.6239414188158,0,1.756
TiHf3Te8,1667d1443160,S->Y,162.35574634754946,0.7032942480989642,72,66,93.53272697865012,36.75970074709337,0,1.512
CrMo3Te8,159f028a85d0,Y->S,162.70990772316003,0.2569664710702297,42,66,68.10245756667682,31.75102454516687,0,0.896
Ti2Zr2Te8,18e377cce57f,S->Y,162.22035719122857,0.6431649598769135,40,66,93.54426452646962,36.660901305993725,0,1.855
PbS,5e4ff1f56b4a,M->G,75.16407537032666,0.774841563510968,82,1,60.13750421055887,0.0,1,1.241
PbTe,3bc08d486d65,M->K,100.4643677992666,0.9311785526870192,82,1,62.03384979465613,0.0,0,1.138
PbTe,3bc08d486d65,M->G,76.43497425138908,0.7994363268899549,52,1,62.03384979465613,0.0,1,2.18
P2Sb2Se6,5d1a32a28ffa,Y->G,131.00956280166722,0.8096352520917903,51,45,38.5619043394879,16.809451571355723,0,2.483
P2Sb2Se6,5d1a32a28ffa,X->G,154.1170954271402,0.8096352520917903,51,45,73.74013782251504,32.04503636140432,0,2.546
P2Sb2Se6,5d1a32a28ffa,Y->G,131.00956280166722,0.8238161694562693,51,45,38.5619043394879,16.809451571355723,1,1.261
P2Sb2Se6,5d1a32a28ffa,X->G,154.1170954271402,0.8238161694562693,51,45,73.74013782251504,32.04503636140432,1,1.339
BiClTe,badda86cab42,M->G,115.9426280546647,0.9378360161127248,83,3,97.87141787644865,11.134375265155905,1,1.458
BiClTe,badda86cab42,M->K,126.90069841462464,0.9378360161127248,83,3,97.87141787644865,11.134375265155905,1,0.863
TiZr3Te8,4f1ab08988cc,S->Y,162.28075320358042,0.6849715466889554,40,66,93.53971615566692,36.76131767963901,0,1.679
TiHf3Se8,3e1923c616ad,S->Y,165.17238244138883,0.7987767433307077,72,66,93.47600386632736,36.88528452410566,0,1.256
TiHf3Se8,3e1923c616ad,S->G,165.17238244138883,0.7987767433307077,72,66,93.47600386632736,36.88528452410566,0,0.626
Cr2Mo2Se8,60065d3bbcf2,X->G,178.87692544445946,0.1629753879269453,24,66,55.90172305730584,25.305257241608448,0,1.173
Cr2Mo2Se8,60065d3bbcf2,Y->S,161.81055572143924,0.1629753879269453,42,66,67.94281199803693,31.72582805837444,0,1.124
CrMo3Se8,a7233837cfe9,X->G,179.2920034029914,0.2003083671083162,24,66,55.34196960418611,24.853451496087125,0,1.288
CrMo3Se8,a7233837cfe9,Y->S,162.63377509031034,0.2003083671083162,42,66,68.07653471895041,31.808094968227888,0,1.311
CrMo3Se8,a7233837cfe9,G->S,162.39116286454265,0.2003083671083162,42,66,48.448430882494215,22.080126654732165,0,0.779
ZrHf3Se8,b8fb10416122,S->G,165.56014029603975,0.8326247051860165,72,66,93.43894177358492,36.73871355506419,0,0.725
WCr3Te8,6523c349753c,X->G,178.9065412760433,0.1806309371731511,24,66,61.63075458902813,28.31596205191633,0,0.99
Hf2Ti2Se8,cce78d90e899,S->Y,164.85522626795247,0.7652933296496389,72,66,93.51331801545363,36.88281513960197,0,1.409
Hf2Ti2Se8,cce78d90e899,S->G,164.85522626795247,0.7652933296496389,72,66,93.51331801545363,36.88281513960197,0,0.553
BiClSe,a80866a2c6b4,G->M,115.2114797869198,0.8702984144182764,83,3,89.86853107358115,28.147680692232186,0,2.393
BiClSe,a80866a2c6b4,M->K,119.5422833382852,0.8702984144182764,83,3,77.6623323682877,15.805396972920938,0,1.782
BiClSe,a80866a2c6b4,G->K,126.97906957964364,0.8702984144182764,83,3,89.86853107358115,28.147680692232186,0,2.216
BiClSe,a80866a2c6b4,M->G,115.2114797869198,0.9014430142409324,83,3,77.6623323682877,15.805396972920938,1,3.032
WMo3Se8,05a06afa3b20,X->G,179.7965308348503,0.2290036829903243,42,66,57.31829582658327,25.803790645032425,0,1.643
