Formula,uid,kpath,pmid_grdf_trig_max,E_pfrac_relevant,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean,Rashba_parameter
BiIS,acdcd16c0d76,M->K,-1.3587895036116344,0.903623557863302,0.9238137730702656,1.3333333333333333,0.2288332531824506,0.5,0.1950883829323272,1.707
BiIS,acdcd16c0d76,G->M,-1.3587895036116344,0.9238137730702656,0.9238137730702656,1.3333333333333333,0.2288332531824506,0.0,0.1950883829323272,1.858
BiIS,acdcd16c0d76,M->K,-1.3587895036116344,0.9238137730702656,0.9238137730702656,1.3333333333333333,0.2288332531824506,0.5,0.1950883829323272,1.074
BiIS,acdcd16c0d76,G->K,-1.3587895036116344,0.9238137730702656,0.9238137730702656,1.3333333333333333,0.2288332531824506,0.0,0.1950883829323272,1.645
MoW3Se8,24d6cc0a0fed,X->G,-6.903169741235938,0.2110720286877839,0.1880903063476812,1.3166666666666669,0.9779934404054346,0.5,9.766723550852689,2.097
MoW3Se8,24d6cc0a0fed,G->S,-6.075703170046448,0.2110720286877839,0.1880903063476812,1.3166666666666669,1.1270418234265014,0.0,6.85256044287111,1.24
Cr2Mo2S8,72b286460831,X->G,-7.98336742632467,0.1786805448398726,0.1411907674565237,1.2833333333333332,1.0371649300809498,0.5,12.64016741998821,1.344
Cr2Mo2S8,72b286460831,Y->S,-7.278013977905279,0.1786805448398726,0.1411907674565237,1.2833333333333332,1.1700096253499466,0.0,10.047805909504778,0.838
ISSb,4c49d27e66e5,G->M,-1.7393680220677954,0.9212175840416548,0.9212175840416548,1.2833333333333334,0.2274370133315044,0.0,0.394926918025156,0.887
ISSb,4c49d27e66e5,G->K,-1.7393680220677954,0.9212175840416548,0.9212175840416548,1.2833333333333334,0.2274370133315044,0.0,0.394926918025156,0.907
SnTe,e688959ea45b,M->K,-0.979869903702334,0.9092975411969436,0.7702073113614514,1.4249999999999998,0.0,0.5,0.0,0.806
