Formula,uid,kpath,E_pfrac_relevant,mid_adf_n_triplets,start_adf_min,mid_nearest_Z,start_adf_mean,kpath_angle_deg,mid_nearest_Z4,n_elements,Rashba_parameter
CrW3S8,a9f87eba4b96,X->G,0.1919601306899144,66,20.28401063099364,24,63.16434889612514,180.0,331776,3,1.909
CrMo3S8,644f7c1c85c7,X->G,0.1854065113491833,66,7.962632458010613,24,55.80440960218041,180.0,331776,3,1.46
AsClTe,4fd8ad708fb0,M->G,0.8748022705579596,3,54.00768739140427,33,77.97084329568558,-150.0000000286525,1185921,3,2.895
AsClTe,4fd8ad708fb0,M->K,0.8748022705579596,3,54.00768739140427,33,77.97084329568558,120.00000002865248,1185921,3,2.257
CrW3Te8,eef072f845ce,X->G,0.2267102691969866,66,20.492516390827436,24,55.07209230141291,180.0,331776,3,1.592
CrW3Te8,eef072f845ce,Y->S,0.2267102691969866,66,0.1973024285173233,74,68.12337575521492,0.0,29986576,3,1.042
CrW3Te8,eef072f845ce,G->S,0.2267102691969866,66,16.948764973998784,74,56.37596921161089,49.11210060848555,29986576,3,0.99
ISSb,5b94060698bc,M->K,0.8378311435722494,3,60.85245251295695,51,78.67715998227652,119.99999995640523,6765201,3,2.844
ISSb,5b94060698bc,G->M,0.881194264676874,3,56.073932093653326,51,91.874064930914,29.999999962582827,6765201,3,1.507
ISSb,5b94060698bc,G->K,0.881194264676874,3,56.073932093653326,51,91.874064930914,60.0000000030888,6765201,3,1.547
MoCr3S8,3fb52099b370,X->G,0.1542812240567189,66,17.22663320052313,24,54.277746699526766,180.0,331776,3,1.221
CrW3Se8,0b7696e1f4c9,X->G,0.1813042425403861,66,4.393230549549257,24,56.36279966660555,180.0,331776,3,1.756
TiHf3Te8,1667d1443160,S->Y,0.7032942480989642,66,29.318978404098544,72,93.53272697865012,-130.8334179720495,26873856,3,1.512
CrMo3Te8,159f028a85d0,Y->S,0.2569664710702297,66,0.1824004081211186,42,68.10245756667682,0.0,3111696,3,0.896
Ti2Zr2Te8,18e377cce57f,S->Y,0.6431649598769135,66,29.52045499193725,40,93.54426452646962,180.0,2560000,3,1.855
PbS,5e4ff1f56b4a,M->G,0.774841563510968,1,60.13750421055887,82,60.13750421055887,-150.00000001782004,45212176,2,1.241
PbTe,3bc08d486d65,M->K,0.9311785526870192,1,62.03384979465613,82,62.03384979465613,120.00000001856608,45212176,2,1.138
PbTe,3bc08d486d65,M->G,0.7994363268899549,1,62.03384979465613,52,62.03384979465613,-149.99999994206163,7311616,2,2.18
P2Sb2Se6,5d1a32a28ffa,Y->G,0.8096352520917903,45,4.8317894421773,51,38.5619043394879,-90.0,6765201,3,2.483
P2Sb2Se6,5d1a32a28ffa,X->G,0.8096352520917903,45,13.825952398172904,51,73.74013782251504,-150.05171859821505,6765201,3,2.546
P2Sb2Se6,5d1a32a28ffa,Y->G,0.8238161694562693,45,4.8317894421773,51,38.5619043394879,-90.0,6765201,3,1.261
P2Sb2Se6,5d1a32a28ffa,X->G,0.8238161694562693,45,13.825952398172904,51,73.74013782251504,-150.05171859821505,6765201,3,1.339
BiClTe,badda86cab42,M->G,0.9378360161127248,3,89.68312180859641,83,97.87141787644865,-150.00000004401488,47458321,3,1.458
BiClTe,badda86cab42,M->K,0.9378360161127248,3,89.68312180859641,83,97.87141787644865,119.99999996490024,47458321,3,0.863
TiZr3Te8,4f1ab08988cc,S->Y,0.6849715466889554,66,29.38425772553593,40,93.53971615566692,-130.83623677816092,2560000,3,1.679
TiHf3Se8,3e1923c616ad,S->Y,0.7987767433307077,66,27.96552853262963,72,93.47600386632736,-130.86288740334143,26873856,3,1.256
TiHf3Se8,3e1923c616ad,S->G,0.7987767433307077,66,27.96552853262963,72,93.47600386632736,-130.86288740334143,26873856,3,0.626
Cr2Mo2Se8,60065d3bbcf2,X->G,0.1629753879269453,66,8.353139923293096,24,55.90172305730584,180.0,331776,3,1.173
Cr2Mo2Se8,60065d3bbcf2,Y->S,0.1629753879269453,66,0.215844741664879,42,67.94281199803693,0.0,3111696,3,1.124
CrMo3Se8,a7233837cfe9,X->G,0.2003083671083162,66,16.48576551433776,24,55.34196960418611,180.0,331776,3,1.288
CrMo3Se8,a7233837cfe9,Y->S,0.2003083671083162,66,0.0260520342270325,42,68.07653471895041,0.0,3111696,3,1.311
CrMo3Se8,a7233837cfe9,G->S,0.2003083671083162,66,12.311437608347154,42,48.448430882494215,49.12125581267344,3111696,3,0.779
ZrHf3Se8,b8fb10416122,S->G,0.8326247051860165,66,27.1900414234504,72,93.43894177358492,-130.89648561884889,26873856,3,0.725
WCr3Te8,6523c349753c,X->G,0.1806309371731511,66,20.50379526276162,24,61.63075458902813,180.0,331776,3,0.99
Hf2Ti2Se8,cce78d90e899,S->Y,0.7652933296496389,66,28.839651854060985,72,93.51331801545363,-130.82723326206678,26873856,3,1.409
Hf2Ti2Se8,cce78d90e899,S->G,0.7652933296496389,66,28.839651854060985,72,93.51331801545363,-130.82723326206678,26873856,3,0.553
BiClSe,a80866a2c6b4,G->M,0.8702984144182764,3,55.904379926132144,83,89.86853107358115,29.999999956881982,47458321,3,2.393
BiClSe,a80866a2c6b4,M->K,0.8702984144182764,3,55.310874341562496,83,77.6623323682877,119.99999996333172,47458321,3,1.782
BiClSe,a80866a2c6b4,G->K,0.8702984144182764,3,55.904379926132144,83,89.86853107358115,59.999999996775145,47458321,3,2.216
BiClSe,a80866a2c6b4,M->G,0.9014430142409324,3,55.310874341562496,83,77.6623323682877,-150.00000004311804,47458321,3,3.032
WMo3Se8,05a06afa3b20,X->G,0.2290036829903243,66,8.612371058726842,42,57.31829582658327,180.0,3111696,3,1.643
WMo3Se8,05a06afa3b20,G->S,0.2290036829903243,66,6.308467126687962,42,43.98902043154916,49.11229464004592,3111696,3,1.001
BrSSb,4da5c6be60db,M->K,0.7806803560540508,3,58.71380801408626,51,78.38552220200906,120.0000000338442,6765201,3,2.39
Cr2W2Se8,548aa830244c,X->G,0.1687729940064901,66,4.395641983899333,24,56.38508833226963,180.0,331776,3,1.39
Cr2W2Se8,548aa830244c,Y->S,0.1687729940064901,66,0.0484005930383541,74,67.95764266629858,0.0,29986576,3,1.322
WMo3S8,9c2979187585,X->G,0.2052901218121179,66,20.72991722993463,42,59.09822506660621,180.0,3111696,3,1.816
