features,feat_list,indices,n_feat,cv5_r2
mid_nearest_mass + start_adf_mean,"mid_nearest_mass,start_adf_mean","(47, 53)",2,0.046030599783514224
mid_nearest_Z4 + start_adf_mean,"mid_nearest_Z4,start_adf_mean","(45, 53)",2,0.046030599783514224
mid_nearest_Z + start_adf_mean,"mid_nearest_Z,start_adf_mean","(44, 53)",2,0.046030599783514224
E_pfrac_relevant + max_mass,"E_pfrac_relevant,max_mass","(2, 37)",2,0.04592930274292426
band_binary + kpath_angle_deg,"band_binary,kpath_angle_deg","(5, 24)",2,0.044776207561730175
E_pfrac_relevant + max_Z,"E_pfrac_relevant,max_Z","(2, 35)",2,0.043668308121680675
E_pfrac_relevant + max_Z4,"E_pfrac_relevant,max_Z4","(2, 36)",2,0.043668308121680675
kpath_angle_deg + mid_adf_mean,"kpath_angle_deg,mid_adf_mean","(24, 40)",2,0.04273508561529924
kvec_z + mid_adf_max,"kvec_z,mid_adf_max","(34, 39)",2,0.04225635039135685
kvec_z + start_adf_max,"kvec_z,start_adf_max","(34, 52)",2,0.04182765607580228
kstart_frac_y + start_adf_mean,"kstart_frac_y,start_adf_mean","(30, 53)",2,0.04157860087402374
kstart_frac_x + start_adf_max,"kstart_frac_x,start_adf_max","(29, 52)",2,0.04006603248136194
band_binary + start_adf_max,"band_binary,start_adf_max","(5, 52)",2,0.040052075667179145
mid_adf_max + start_adf_min,"mid_adf_max,start_adf_min","(39, 54)",2,0.040041241941299724
kstart_frac_z + start_adf_max,"kstart_frac_z,start_adf_max","(31, 52)",2,0.03952754576949393
mean_Z + start_adf_mean,"mean_Z,start_adf_mean","(38, 53)",2,0.03925316242634687
kmid_frac_z + start_adf_max,"kmid_frac_z,start_adf_max","(23, 52)",2,0.037819710353519366
E_pfrac_relevant + kpath_real_distance,"E_pfrac_relevant,kpath_real_distance","(2, 26)",2,0.03546627088494203
kend_frac_z + start_adf_max,"kend_frac_z,start_adf_max","(20, 52)",2,0.034653010155700395
E_pfrac_relevant + min_mass,"E_pfrac_relevant,min_mass","(2, 48)",2,0.03438072693646303
end_adf_max + mid_nearest_Z4,"end_adf_max,mid_nearest_Z4","(8, 45)",2,0.033815243295111895
end_adf_max + mid_nearest_mass,"end_adf_max,mid_nearest_mass","(8, 47)",2,0.033815243295111895
