uid,bwdf_chi_total,bwdf_chi_mean_r,bwdf_chi_std_r,bwdf_chi_skew,bwdf_chi_kurt,bwdf_chi_max_val,bwdf_chi_max_r,bwdf_chi_first_peak_r,bwdf_z_total,bwdf_z_mean_r,bwdf_z_std_r,bwdf_z_skew,bwdf_z_kurt,bwdf_z_max_val,bwdf_z_max_r,bwdf_z_first_peak_r,asi_chi_mean,asi_chi_std,asi_chi_max,asi_chi_z_mean,asi_chi_z_abs_mean,asi_chi_z_max,asi_z_mean,asi_z_std,asi_z_max,asi_z_z_mean,asi_z_z_abs_mean,asi_z_z_max
1667d1443160,18.213287859353873,3.841125888616531,0.947973247488202,0.031129816842456956,-1.913532755378762,33.97599214812065,2.909090909090909,2.909090909090909,131536.49199531515,3.8471149315029067,0.7225467644453604,0.024534757168132283,-1.174671056700438,190442.38623151003,3.8636363636363638,2.909090909090909,0.3436167418876177,0.2338525170145193,0.5297433858967597,3.3076450477296605e-05,0.33821063309524524,0.5275725422594642,0.22699028471011262,0.14262426520475846,0.3486438179657442,0.00012431859222427252,0.21550096154429477,0.3431715019955455
18e377cce57f,16.717293210449117,3.821422868448929,0.9349836382684833,0.01529606290441914,-1.8953705249238975,29.347744670781452,2.8636363636363638,2.8636363636363638,82063.35859841717,3.816624682710514,0.662851071348335,0.0500793620912598,-0.8643656976516318,117281.73117493125,3.8181818181818183,2.8636363636363638,0.34207747031063,0.2403948659639822,0.531992609640861,1.80866549228433e-05,0.33947281314873057,0.529373854434946,0.17975579922308246,0.12545678150920872,0.2773671409087061,1.471120000403244e-05,0.17772312387321934,0.27547800853188464
18e62ba75259,2.7372380758970145,3.6183875166722874,0.6316418610065484,0.10561444524809231,-1.8891051554144362,5.653577652926372,3.0454545454545454,3.0454545454545454,19231.353448623853,3.81461551067607,0.5982880965245847,-0.6155928036732728,-1.4958693259445623,48692.175114991835,4.2272727272727275,3.0,0.6797470289998117,0.11424133530047909,0.8070075072652743,-0.21153675594579582,0.6797470289998117,0.8070075072652743,0.2583946771155822,0.1554243583217987,0.42073859998348107,0.05469326700883178,0.2583946771155822,0.42073859998348107
1a3bdd1b142a,0.15039769647785997,2.7794626342796134,0.10000000000000007,-6.257147577848343e-15,0.0,0.5986405894703267,2.772727272727273,2.772727272727273,19926.051406081697,4.1182515415230725,0.91118204858649,-0.78760749485623,-1.325004118991548,54573.91052512218,4.7272727272727275,2.772727272727273,0.18446358431901888,0.0,0.18446358431901888,0.0,0.18446358431901888,0.18446358431901888,0.06272367161627015,0.017477886783303268,0.08020155839957342,0.017477886783303268,0.06272367161627015,0.08020155839957342
1a3be826b3e0,4.978105325348436,3.6723185047810243,0.8805134934110754,-0.07768262591726321,-1.7259708844624722,7.747527091170922,4.636363636363637,2.6818181818181817,9742.724226858585,3.687872041155031,0.713009265289567,-0.27254076394074556,-1.0085377613933124,18469.76279589836,3.772727272727273,2.6363636363636362,0.46359265160347557,0.1710452919826796,0.6109567860499234,-0.09290209919098284,0.46359265160347557,0.6109567860499234,0.269290399524877,0.14702729198103165,0.4412903402348193,0.07964292036580639,0.269290399524877,0.4412903402348193
1dcd471c2288,4.120694315657654,3.6818209620324858,0.8904444559761564,-0.09101721601180238,-1.719246890832224,5.239109057529003,4.636363636363637,2.5,9769.534410163495,3.6994565532635946,0.692248724823833,-0.16367085924662741,-0.9005469892232418,17849.328132088944,3.7272727272727275,2.5,0.44294553943576503,0.16758063224275094,0.5808915908390511,-0.05568447887639768,0.44294553943576503,0.5808915908390511,0.29057988109033084,0.11486469365769433,0.41854690907391406,-0.08174529954284114,0.29057988109033084,0.41854690907391406
20f098bd3f31,6.677536944532718,3.248211370223331,1.0066358437477034,0.12648716714045927,-1.7210353099586175,9.026229961930751,2.3636363636363638,2.3636363636363638,24428.478483969822,3.765131387415986,0.5635075761916333,-1.3668983437889768,1.6075695234102234,57406.93991057802,4.090909090909091,2.3636363636363638,0.2766509832926979,0.09669342549510532,0.40212748391393177,0.061794380431824884,0.26285807065007716,0.4021273804365046,0.2569821167317931,0.09627422051751111,0.3565345067605441,0.06690328654931865,0.24517053519915966,0.356534497299682
211bcb7f05d6,1.6242951091999043,3.5190934142484878,0.9600943162093336,5.775893058133533e-09,-1.9568411496314626,3.1834454971959385,2.5454545454545454,2.5454545454545454,6551.323632864557,3.5927222268401837,0.6862092747725521,-0.3113608807632042,-0.9340360094545592,12921.761766855647,3.681818181818182,2.5454545454545454,0.4439756564537228,0.0,0.4439756564537228,0.0,0.4439756564537228,0.4439756564537228,0.22198782822686142,0.006726903885662466,0.22871473211252388,-0.006726903885662466,0.22198782822686142,0.22871473211252388
24d6cc0a0fed,6.376862330661255,3.360576472144746,0.7857727378801599,0.01592582241560314,-1.8353215628904844,11.517982506958335,2.5454545454545454,2.5454545454545454,109940.25249284875,3.5195099411516715,0.7398819592601419,0.14742600868481862,-1.1264477066480387,166984.02032547415,3.3181818181818183,2.5454545454545454,0.3725419172725117,0.23816031743136745,0.5601501968572334,1.5687825401039523e-05,0.3537455885706576,0.5488601006771706,0.3166450822471498,0.20946091718782442,0.4736955930082597,-2.3805037190210987e-06,0.30914711930788946,0.4722989147584283
287dcf4f1a19,9.655571195227077,3.5685301488665,0.9079863699229888,0.017716487789598764,-1.317671269600388,7.087911104845797,4.636363636363637,2.1363636363636367,36494.49034481126,3.867059555818491,0.6771144855435126,-0.6723589461354839,-0.43956017469945374,32283.529325098192,4.090909090909091,2.1363636363636367,0.3424623078261888,0.15759972784777943,0.5549813555574208,-0.009541352133638081,0.30853199074272514,0.5225498727788928,0.31136565774070907,0.15246137175121052,0.458402645067429,0.008213103995245696,0.2959312283664888,0.42531687396332385
